,m/v,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,b,,,,,,,,,True
1,phrase_line,b,0,0,ι,False,False,False,,,False
2,phrase_line,e,p3,3,σχύν,True,False,True,,,False
3,phrase_line,c,a2,-2,ο,False,False,True,,,False
4,phrase_line,d,o,1,δι,False,False,False,,,False
5,phrase_line,e,o,1,δούς,True,False,True,"ap,nenano",,True
6,phrase_line,b,a3,-3,τοις,False,False,True,,,False
7,phrase_line,c,o,1,βα,False,False,False,,,False
8,phrase_line,d,o,1,σι,False,False,False,,,False
9,phrase_line,e,p,1,λεύ,True,False,False,,,False
10,phrase_line,d,a,-1,σιν,False,False,True,,,False
11,phrase_line,c,a,-1,η,False,False,False,,,False
12,phrase_line,d,o,1,μών,True,False,True,,,False
13,phrase_line,e,oo,1,κύ,False,False,False,,,False
14,phrase_line,d,a,-1,ρι,False,False,False,,,False
15,phrase_line,b,a2,-2,ος,False,False,True,,,True
16,martyria,b,,,,,,,,,True
17,phrase_line,b,0,0,και,False,False,True,,,False
18,phrase_line,d,p2,2,κέ,True,False,False,,,False
19,phrase_line,b,a2,-2,ρας,False,False,True,,,False
20,phrase_line,b,0,0,χρι,False,False,False,,,False
21,phrase_line,c,p,1,στών,True,False,True,,,False
22,phrase_line,b,a,-1,αυ,False,False,False,,,False
23,phrase_line,G,a2,-2,τού,True,False,True,,,False
24,phrase_line,a,o,1,υ,False,False,False,,,False
25,phrase_line,b,o,1,ψών,True,False,True,ap,,True
26,phrase_line,e,o3,3,παρ,False,False,False,,,False
27,phrase_line,f,p,1,θέ,False,False,False,,,False
28,phrase_line,e,a,-1,νου,False,True,True,v,v,False
29,phrase_line,"d,c",s,"-1,-1",-,False,False,True,v,,False
30,phrase_line,d,o,1,α,False,False,False,,,False
31,phrase_line,e,p,1,πο,False,True,False,,,False
32,phrase_line,d,a,-1,-,False,False,False,,,False
33,phrase_line,d,0,0,τί,False,True,False,v,v,False
34,phrase_line,c,a,-1,-,False,False,False,v,,False
35,phrase_line,c,0,0,κτε,False,True,False,v,v,False
36,phrase_line,b,a,-1,-,False,False,False,v,,False
37,phrase_line,b,0,0,ται,False,False,True,ap,,True
38,martyria,b,,,,,,,,,True
39,phrase_line,a,a,-1,μο,False,False,False,,,False
40,phrase_line,b,o,1,λεί,True,False,True,,,False
41,phrase_line,d,p2,2,δε,False,False,True,,,False
42,phrase_line,b,a2,-2,προς,False,False,True,,,False
43,phrase_line,b,p0,0,το,False,False,True,,,False
44,phrase_line,G,a2,-2,βάπ,True,False,False,,,False
45,phrase_line,a,o,1,τι,False,False,False,,,False
46,phrase_line,b,o,1,σμα,False,False,True,ap,,True
47,martyria,b,,,,,,,,,True
48,phrase_line,e,o3,3,δι,False,False,False,,,False
49,phrase_line,e,p0,0,ό,True,False,True,,,False
50,phrase_line,c,a2,-2,πι,False,False,False,,,False
51,phrase_line,d,o,1,στοί,True,False,True,,,False
52,phrase_line,e,oo,1,βο,False,False,False,,,False
53,phrase_line,d,a,-1,ή,False,False,False,,,False
54,phrase_line,c,a,-1,σω,False,False,False,,,False
55,phrase_line,b,aa,-1,μεν,False,False,True,,,True
56,phrase_line,b,0,0,ουκ,False,False,True,,,False
57,phrase_line,d,oo2,2,έ,True,False,False,,,False
58,phrase_line,c,a,-1,στιν,False,False,True,,,False
59,phrase_line,b,pa,-1,ά,True,False,False,,,False
60,phrase_line,a,a,-1,γι,False,True,False,v,v,False
61,phrase_line,G,a,-1,-,False,False,False,v,,False
62,phrase_line,a,o,1,ος,False,True,True,dd,,False
63,phrase_line,b,o,1,-,False,True,True,dd,,False
64,phrase_line,d,oo2,2,-,False,True,True,,,False
65,phrase_line,c,a,-1,-,False,True,True,,,False
66,phrase_line,b,aa,-1,-,False,True,True,,,False
67,phrase_line,"c,d",kkoo,"1,1",-,False,False,True,,,True
68,phrase_line,d,p0,0,ως,False,False,True,,,False
69,phrase_line,c,a,-1,ο,False,True,True,,,False
70,phrase_line,b,a,-1,-,False,False,True,,,False
71,phrase_line,a,aa,-1,Θε,False,True,False,,,False
72,phrase_line,c,k,2,-,False,True,False,v,v,False
73,phrase_line,a,e,-2,-,False,False,False,v,,False
74,phrase_line,b,o,1,ός,True,False,True,dd,,False
75,phrase_line,a,a,-1,η,False,True,False,ve,ve,False
76,phrase_line,G,a,-1,-,False,False,False,ve,,False
77,phrase_line,G,0,0,μών,True,False,True,ap,,True
